CD_CIDADE;NM_CIDADE;ESTADO
7999;ARROIO DO SO;RS
8000;ARROIO DO TIGRE;RS
8113;ARROIO DOS MENGUES;RS
8932;ARROIO DOS RATOS;RS
8935;ARROIO GRANDE;RS
8934;ARROIO GRANDE;RS
8933;ARROIO GRANDE;RS
8112;ARROIO TEIXEIRA;RS
9365;ARROIO TRINTA;SC
1683;ARROJADO;CE
7428;ARROZAL;RJ
4876;ARRUDA;MT
10343;ARTEMIS;SP
9769;ARTUR NOGUEIRA;SP
2398;ARUANA;GO
1684;ARUARU;CE
9770;ARUJA;SP
4992;ARUMANDUBA;PA
4993;ARURI;PA
4531;ARVORE GRANDE;MS
8936;ARVORE SO;RS
9366;ARVOREDO;SC
8850;ARVOREZINHA;RS
3260;ASCENCAO;MG
9367;ASCURRA;SC
10344;ASPASIA;SP
6473;ASSAI;PR
3261;ASSARAI;MG
1685;ASSARE;CE
4877;ASSARI;MT
1465;ASSIS;CE
10345;ASSIS;SP
531;ASSIS BRASIL;AC
6288;ASSIS CHATEAUBRIAND;PR
10327;ASSISTENCIA;SP
5304;ASSUNCAO;PB
1687;ASSUNCAO;CE
1686;ASSUNCAO;CE
6224;ASSUNCAO DO PIAUI;PI
3201;ASTOLFO DUTRA;MG
6474;ASTORGA;PR
8851;ATAFONA;RS
6475;ATALAIA;PR
578;ATALAIA;AL
195;ATALAIA DO NORTE;AM
9496;ATALANTA;SC
3202;ATALEIA;MG
5914;ATAPUS;PE
9497;ATERRADO TORTO;SC
8852;ATIACU;RS
10309;ATIBAIA;SP
2125;ATILIO VIVACQUA;ES
8333;ATLANTICO;RS
10310;ATLANTIDA;SP
4994;ATURIAI;PA
10574;AUGUSTINOPOLIS;TO
4982;AUGUSTO CORREA;PA
3262;AUGUSTO DE LIMA;MG
196;AUGUSTO MONTENEGRO;AM
8853;AUGUSTO PESTANA;RS
8223;AUREA;RS
511;AURELINO LEAL;BA
10311;AURIFLAMA;SP
2399;AURILANDIA;GO
2400;AURIVERDE;GO
2764;AURIZONA;MA
9498;AURORA;SC
1688;AURORA;CE
6476;AURORA DO IGUACU;PR
4983;AURORA DO PARA;PA
10575;AURORA DO TOCANTINS;TO
197;AUTAZES;AM
10312;AVAI;SP
3263;AVAI DO JACINTO;MG
10313;AVANHANDAVA;SP
10314;AVARE;SP
4995;AVEIRO;PA
7429;AVELAR;RJ
6145;AVELINO LOPES;PI
8921;AVELINO PARANHOS;RS
2478;AVELINOPOLIS;GO
10315;AVENCAS;SP
134;AXINIM;AM
2765;AXIXA;MA
10588;AXIXA DO TOCANTINS;TO
9499;AZAMBUJA;SC
8901;AZEVEDO SODRE;RS
3828;AZURITA;MG
10576;BABACULANDIA;TO
2924;BABILONIA;MG
2794;BACABAL;MA
2795;BACABEIRA;MA
10316;BACAETAVA;SP
2925;BACAO;MG
2766;BACATUBA;MA
7430;BACAXA;RJ
2510;BACILANDIA;GO
8902;BACUPARI;RS
2767;BACURI;MA
9859;BACURITI;SP
2768;BACURITUBA;MA
135;BADAJOS;AM
10317;BADY BASSITT;SP
2926;BAEPENDI;MG
8903;BAGE;RS
4996;BAGRE;PA
10318;BAGUACU;SP
2927;BAGUARI;MG
9500;BAIA ALTA;SC
5305;BAIA DA TRAICAO;PB
7856;BAIA FORMOSA;RN
2126;BAIA NOVA;ES
253;BAIANOPOLIS;BA
4532;BAIANOPOLIS;MS
4997;BAIAO;PA
245;BAILIQUE;AP
2928;BAIOES;MG
10319;BAIRRO ALTO;SP
6477;BAIRRO CACHOEIRA;PR
6478;BAIRRO LIMOEIRO;PR
2929;BAIXA;MG
579;BAIXA DA ONCA;AL
580;BAIXA DO CAPIM;AL
516;BAIXA DO PALMEIRA;BA
597;BAIXA GRANDE;AL
1689;BAIXA GRANDE;CE
517;BAIXA GRANDE;BA
6146;BAIXA GRANDE DO RIBEIRO;PI
3009;BAIXA QUENTE;MG
254;BAIXAO;BA
255;BAIXINHA;BA
1690;BAIXIO;CE
1411;BAIXIO;CE
1691;BAIXIO DA DONANA;CE
1491;BAIXIO DAS PALMEIRAS;CE
2127;BAIXO GUANDU;ES
5306;BALANCOS;PB
158;BALBINA;AM
2930;BALBINOPOLIS;MG
10320;BALBINOS;SP
